Table S9. Genome-wide gene and transposable-element differential expression in Col-0 after 24-h 37°C heat stress. Gene-level results.								
								
Gene ID	Mean normalized count (baseMean)	log2 fold change (HS / NS)	log2FC SE	Wald statistic	P value	BH-adjusted P value	BH-adjusted P available after DESeq2 independent filtering	DE call
AT1G30814	0.289228205463874	-1.4446006960804	4.0361304638485	-0.357917244999795	0.72040524486023		False	NS
AT1G78930	385.590626278703	2.82100661811502	0.164429196903528	17.1563607390854	5.63349396518705e-66	2.14251896081407e-64	True	Up
AT1G71695	3541.20559642901	-0.945252994244874	0.11380089251517	-8.30620018308613	9.88154727292989e-17	6.24369714376727e-16	True	NS
AT1G58983	11.6766286678025	0.190394990752935	0.730504578711436	0.26063490401221	0.794374070212311	0.832261047940214	True	NS
AT1G12980	1.80070791082709	0.136801042401178	1.61974651781659	0.0844583031334959	0.932692053623332	0.946621099142018	True	NS
AT1G45223							False	NS
AT1G56250	17.0445956861726	-1.68569332217658	0.65699102992866	-2.56577829131034	0.0102944604808311	0.0178452234509016	True	Down
AT1G66852							False	NS
AT1G69810	195.257092269688	-1.91991388672548	0.191831161430583	-10.0083525137819	1.40065523630365e-23	1.28871056010984e-22	True	Down
AT1G72450	527.963020848403	-0.670972340245173	0.195483351005154	-3.43237588671929	0.000598317666961646	0.00126517769195231	True	NS
AT1G76280	634.143530520533	0.684756825910165	0.138776457921078	4.93424343125679	8.04620365470178e-07	2.39643032654104e-06	True	NS
AT1G65630	8.44323819701077	3.1399207439308	0.96775028079234	3.24455678934033	0.00117633558616629	0.00238315547868141	True	Up
AT1G71390	0.138460721063648	-0.530254557416642	4.0804728567969	-0.129949291669319	0.896606545775759		False	NS
AT1G56233	0.359938550646451	2.20769709006984	4.04571346397515	0.545687950896219	0.585280455794587		False	NS
AT1G15210	749.980060076808	-2.09991077883331	0.168667175556334	-12.4500263427483	1.39799015403279e-35	2.11128285762452e-34	True	Down
AT1G15250	419.349671055685	0.840653292676998	0.161236225660387	5.21379912754637	1.85011806876747e-07	5.87372587140749e-07	True	NS
AT1G79700	138.102837150302	-3.16705270083754	0.289250283333042	-10.9491775231591	6.70536877459668e-28	7.52372569539877e-27	True	Down
AT1G62895							False	NS
AT1G73360	150.822597179075	-0.813288058271207	0.233583895777507	-3.48178137693996	0.000498090170935536	0.00106538922291844	True	NS
AT1G16360	6.4017458917762	-3.34057927183337	1.18566843816469	-2.81746495420278	0.00484043968952228	0.00887983115435215	True	Down
AT1G10225	52.9374622631683	9.39123564884969	1.23130895203329	7.62703433069477	2.40215638141437e-14	1.31799048064666e-13	True	Up
AT1G26670	1550.09901625155	0.179985337872737	0.131904516814468	1.36451231708689	0.172406380315983	0.227259501317994	True	NS
AT1G34855							False	NS
AT1G52200	259.719917994959	-3.28080386493682	0.263284192871227	-12.4610742071457	1.2171991853675e-35	1.84523693994685e-34	True	Down
AT1G57800	9.46414268145559	3.32002904114872	1.00600578476513	3.30020869802834	0.000966129538820078	0.00198163001180261	True	Up
AT1G69460	1257.01608983069	0.209483730390888	0.121072371951466	1.73023561869972	0.0835881869330067	0.119881397833258	True	NS
AT1G04310	229.428262446113	-0.849941624077683	0.170932176473533	-4.97239104779834	6.61321387734351e-07	1.98695431265777e-06	True	NS
AT1G08080	0.807117941554831	2.08542491719277	3.17332288972873	0.657173880396092	0.511069118346974		False	NS
AT1G75550	22.4093648249473	-1.76659762849545	0.597979826245225	-2.95427629990144	0.00313403273918465	0.0059299478910682	True	Down
AT1G71890	30.126399327981	-1.04827387913478	0.439033929492802	-2.38768306665001	0.016954956171567	0.0282134433455916	True	Down
AT1G05430	1053.08606421663	1.12925204932648	0.110904960003418	10.1821600160324	2.38213997590455e-24	2.27215121625154e-23	True	Up
AT1G80870	497.928505813808	-0.316786048569711	0.129499195407617	-2.44623951193351	0.0144355067881805	0.0243650739707086	True	NS
AT1G75310	1065.58150741885	0.0549267042490449	0.134309258543788	0.408956946412874	0.682571256894645	0.736179874095298	True	NS
AT1G02010	313.084715965534	-0.370327713468761	0.159660650205117	-2.31946765212968	0.0203696931232218	0.0333687460722942	True	NS
AT1G47900	1466.28265440502	-0.46632593954176	0.117111602020736	-3.98189360827966	6.83683841576264e-05	0.00016389502814097	True	NS
AT1G14315	1.50512093093252	4.24142092986061	2.55391273695858	1.66075405337132	0.0967628524682359	0.136499643633986	True	NS
AT1G26760	137.289342638246	-0.987697609390905	0.211468213011931	-4.67066702519105	3.00223255047776e-06	8.40681342298128e-06	True	NS
AT1G05250	64.8038061318917	-2.68129928095097	0.468744994604181	-5.72016621364698	1.06419895816747e-08	3.77992093203895e-08	True	Down
AT1G67260	12.9212263835642	-0.417208725424298	0.630000223070959	-0.662235837617006	0.507820089923819	0.574376935752132	True	NS
AT1G24575	69.6237485000203	-1.83140180689019	0.34926728036567	-5.24355389079897	1.5751277457821e-07	5.02939214289902e-07	True	Down
AT1G12790	74.6290076835841	-0.255008496271932	0.342750362125131	-0.744006497005053	0.456872544554288	0.525169622354893	True	NS
AT1G04850	3655.23131544315	0.641344360611843	0.0860411803523746	7.45392331887208	9.06046711488155e-14	4.78042554746794e-13	True	NS
AT1G31760	258.592371197459	2.25481879015349	0.179666289078492	12.5500381942458	3.97318339617469e-36	6.17987602102021e-35	True	Up
AT1G33250	496.808038860623	0.0468786586978626	0.176494793446609	0.265609300888776	0.790540121759677	0.829004662407132	True	NS
AT1G74000	109.464433645081	0.120490633125758	0.265953312790774	0.453051822748108	0.650511425541322	0.708082737489171	True	NS
AT1G55580	21.0389040519427	-2.14324316383971	0.591275193851616	-3.62478112751263	0.000289206275242636	0.000639821743859644	True	Down
AT1G53903	0.276921442127295	-1.39009080789157	4.04102883652992	-0.343994280695422	0.730850587269374		False	NS
AT1G19715	1783.67681801286	0.307899968720801	0.166352131348849	1.8508928393296	0.0641849711192941	0.0946046136238912	True	NS
AT1G69430	26.6759313477696	1.50881812175279	0.528112657009426	2.85700049360086	0.00427665173067595	0.00792394568207189	True	Up
AT1G53340	40.7036294132719	-0.966383538440896	0.479982389503467	-2.01337290611974	0.0440754137193401	0.0674150925188014	True	NS
AT1G29890	614.01442701233	-0.80320147125842	0.132208993596638	-6.0752407942	1.23801806478819e-09	4.78215213077072e-09	True	NS
AT1G80290	147.63927416291	-0.635224038821521	0.233042906209531	-2.72578148442066	0.00641494519140096	0.0115139795069548	True	NS
AT1G56540	32.3416572052945	-1.08938177088319	0.529788659929334	-2.05625724610356	0.0397577269684546	0.0614602351584349	True	NS
AT1G48650	2814.50713594926	0.508021857422208	0.114806631386665	4.42502189365008	9.64325027706488e-06	2.55437751221289e-05	True	NS
AT1G22670	3.06752587529968	1.10551050030675	1.58866600203	0.695873455398507	0.486508082291819	0.55370123909724	True	NS
AT1G07030	751.028462321865	0.574980784428431	0.151600008157275	3.79274903357478	0.000148988712415967	0.000342472180110959	True	NS
AT1G69860	0.144542113750186	-0.530254557416642	4.0804728567969	-0.129949291669319	0.896606545775759		False	NS
AT1G10120	517.001888837996	-0.326624314393151	0.160546213757382	-2.03445666359187	0.0419055737434302	0.0644050841689905	True	NS
AT1G43650	67.5762987921538	-1.79410547927037	0.317530339055127	-5.65018600934034	1.60274311306973e-08	5.60128864146884e-08	True	Down
AT1G09960	332.947276263253	0.906908075371894	0.144579680280191	6.27272154437149	3.54791092874306e-10	1.43076745174295e-09	True	NS
AT1G51990							False	NS
AT1G53625	4.36464510888195	-0.978236084034625	1.28588664344181	-0.760748304699921	0.446807416831973	0.515432657831627	True	NS
AT1G63360	960.380733259438	-0.167936111512852	0.127255989841836	-1.3196715669068	0.186944697055908	0.24372396550065	True	NS
AT1G33330	246.36222304285	-0.27795695374062	0.185795857576702	-1.49603418163331	0.134644747943929	0.182760534516265	True	NS
AT1G74929							False	NS
AT1G63430	939.596594561984	0.62102051807997	0.103571662818552	5.99604661332839	2.02179009266474e-09	7.65757799188185e-09	True	NS
AT1G80720	211.772948501904	1.38528101431647	0.182570481012054	7.587650570001	3.25757971548957e-14	1.76867503299913e-13	True	Up
AT1G69770	1248.68908376434	0.671118319575057	0.136441713952711	4.91871803814822	8.71128458085536e-07	2.58389770295377e-06	True	NS
AT1G08460	896.97658059391	1.18042022267382	0.144627147666623	8.16181637900222	3.3002364240172e-16	2.02172229796004e-15	True	Up
AT1G78710	0.144542113750186	-0.530254557416642	4.0804728567969	-0.129949291669319	0.896606545775759		False	NS
AT1G08610	346.431586257434	1.53509325967524	0.167534581393507	9.16284415376664	5.05471796213103e-20	3.84235662822048e-19	True	Up
AT1G17540	17.5115806737923	3.8526078095553	0.750204719337609	5.13540865612915	2.81531595907943e-07	8.78528416033108e-07	True	Up
AT1G27380	15.7683017024196	-0.0630639418526528	0.641473118744353	-0.098311121713248	0.921685247114612	0.937501962384393	True	NS
AT1G58643							False	NS
AT1G48953	0.535878623433371	2.77893175089163	4.00085016354414	0.694585309945705	0.487315220966976		False	NS
AT1G51440	48.45281984196	-0.21156930147977	0.413392823897772	-0.511787552296962	0.608799703028145	0.669780467983779	True	NS
AT1G18871							False	NS
AT1G25210	65.7657820581084	-2.17000056026553	0.972851921234597	-2.23055586662325	0.025710562956527	0.0412590116754571	True	Down
AT1G21610	824.053209124375	0.419460407860302	0.133872814897579	3.13327547628855	0.00172867116541333	0.00341283086729535	True	NS
AT1G79710	207.228849941678	-0.603999496068554	0.186764705295745	-3.23401305997356	0.00122063873688484	0.00246580981791583	True	NS
AT1G80840	50.416597308388	-0.664007889040369	0.510565100340834	-1.30053520813918	0.19341759724924	0.251000095551498	True	NS
AT1G71300	0.144542113750186	-0.530254557416642	4.0804728567969	-0.129949291669319	0.896606545775759		False	NS
AT1G49490	140.327241843301	-0.203645357118411	0.22655612646358	-0.898873759439684	0.368719906427791	0.437200376781443	True	NS
AT1G23645							False	NS
AT1G09795	2820.35299969634	0.470518248653788	0.089475949414266	5.25860023541442	1.45156057863024e-07	4.65409893606655e-07	True	NS
AT1G48690	47.1614040971948	-1.65146961850221	0.480776803720818	-3.43500269921757	0.00059254792659971	0.00125397483192836	True	Down
AT1G49570	102.572066107065	-4.69365097942878	0.441100625976387	-10.6407715224599	1.92528477101888e-26	2.01033008696262e-25	True	Down
AT1G68470	97.3216108692014	-1.65825034928874	0.255885329869924	-6.48044321310524	9.14535704376501e-11	3.86528677033474e-10	True	Down
AT1G75580	83.5831107701787	0.210233981161778	0.302201692483862	0.695674400212053	0.486632760997328	0.553790443298515	True	NS
AT1G26400							False	NS
AT1G72980	1.742391479744	4.46780420490833	2.36639780518652	1.88801907908978	0.0590233891561521	0.0877428234770986	True	NS
AT1G59970	216.09929283391	-1.41738575001447	0.194826023356039	-7.27513566000491	3.46072495976317e-13	1.75285755848941e-12	True	Down
AT1G11520	0.144542113750186	-0.530254557416642	4.0804728567969	-0.129949291669319	0.896606545775759		False	NS
AT1G30640	391.627335912149	-0.0807981662228279	0.155010081488422	-0.521244589042183	0.602196396035992	0.663670253317976	True	NS
AT1G26440	344.271233237972	-0.416988933293209	0.162757793193134	-2.56202130240483	0.0104064935326957	0.0180263677254994	True	NS
AT1G51320							False	NS
AT1G22070	714.977858985196	-0.446710007916876	0.134888683920466	-3.31169372354665	0.00092733009734374	0.00190728145375779	True	NS
AT1G26700	4.49291496282717	-4.38248725546095	1.59508519129857	-2.74749416480579	0.00600525774746448	0.0108339197462176	True	Down
AT1G73603	0.179969275323225	1.39329879422585	4.0804728567969	0.341455229117628	0.732760903698832		False	NS
AT1G55650							False	NS
AT1G78180	393.329531503612	-1.27655547301988	0.186208096258204	-6.85553151915455	7.10478542270682e-12	3.26533481041292e-11	True	Down
AT1G55928							False	NS
AT1G29880	4589.88454323193	0.591302520115189	0.0939956166463563	6.2907456880662	3.15944569255594e-10	1.27755679272013e-09	True	NS
AT1G53645	1021.90987597368	-0.215728921517203	0.126004400859071	-1.71207449935408	0.0868829401065085	0.124076992014083	True	NS
AT1G06240	399.285214335659	-0.066686647643774	0.142909440523131	-0.466635705798457	0.640760536533783	0.698868078008533	True	NS
AT1G72330	816.793523227118	1.80183852651319	0.118585530096153	15.1944214867717	3.85047866248912e-52	9.93647794650104e-51	True	Up
AT1G20840	1754.06755479501	-1.18243574113235	0.111688405613074	-10.5869157558638	3.42697642537998e-26	3.53362629516983e-25	True	Down
AT1G45050	235.427029652635	-0.0156427590845019	0.186753156025114	-0.0837616853039867	0.933245911622315	0.947052071376652	True	NS
AT1G52500	563.180713403288	0.834322182960792	0.132752246535846	6.28480650785451	3.28262279759576e-10	1.32601996899841e-09	True	NS
AT1G10430	715.626273442493	0.0603040114465048	0.124052927050903	0.486115183898563	0.626885501994388	0.686489126972293	True	NS
AT1G05670	359.140727117806	0.901750293391529	0.184291328300414	4.89306958557258	9.92752855995236e-07	2.92687131145157e-06	True	NS
AT1G64110	32.3594475609025	-0.521935501441806	0.405095152565849	-1.28842692423224	0.197597391396643	0.255813659324088	True	NS
AT1G65220	2089.25171910711	0.134059394339713	0.0927320486800024	1.44566410694023	0.148271436312444	0.198998568004778	True	NS
AT1G13635	30.7238162047018	-0.909891219942922	0.480891866879552	-1.89209109700086	0.0584788443304944	0.0870631636839735	True	NS
AT1G54950	3.43248754133503	-2.23851285753361	1.4828035028341	-1.50964902177201	0.131133005587774	0.178622238906202	True	NS
AT1G55730	309.853463754327	-0.185102030293199	0.152999275859564	-1.20982291748297	0.226346850326185	0.287326577527354	True	NS
AT1G07310	660.005768613754	0.16570743753218	0.166065857797861	0.997841698044176	0.318356126802324	0.38529369955303	True	NS
AT1G77230	210.196866479466	1.75764994884847	0.199014350197419	8.83177493032489	1.03027596348351e-18	7.33083331304361e-18	True	Up
AT1G52400	3479.03478695051	-1.32258050141514	0.811034224827159	-1.63073327971701	0.102946611155709	0.144016890764145	True	NS
AT1G16430	180.780119774557	0.725087628251165	0.202108878856993	3.58760897765515	0.000333724265159753	0.000732014659008951	True	NS
AT1G27752	908.989843681155	0.0336011843971332	0.12859743204995	0.261289699658091	0.793869109229186	0.831914176930987	True	NS
AT1G14880	40.7091269130765	-8.58422101502976	2.06476619117374	-4.15747848435564	3.21779570286934e-05	8.02419564307727e-05	True	Down
AT1G11190	131.893628257983	0.677437130215519	0.25386108416729	2.66853477143862	0.00761828924525608	0.0134966092960835	True	NS
AT1G43100							False	NS
AT1G26650	437.467503988872	-0.268564086947713	0.146530978881772	-1.8328143918591	0.0668301781560419	0.0981647747665991	True	NS
AT1G54420	0.318429996386873	0.431526122012216	4.0804728567969	0.105753949886817	0.915777574486417		False	NS
AT1G34640	129.343433040302	-0.951385494821934	0.26775887473685	-3.55314271378285	0.000380657893355213	0.000828354236772802	True	NS
AT1G50310	4.75207493318367	1.40918133437894	1.12695705340311	1.25043037809079	0.21114237329071	0.270480232079916	True	NS
AT1G49430	862.965344109057	-1.73226528846443	0.128190372255333	-13.5132245736369	1.30670180469442e-41	2.43260082271595e-40	True	Down
AT1G74240	409.09301175412	2.23043062830981	0.159436263735516	13.9894812889608	1.80725230838622e-44	3.68883018099106e-43	True	Up
AT1G01760	113.346119323892	0.505712424093697	0.230124543478297	2.1975597059311	0.0279804973197065	0.0445579454721088	True	NS
AT1G61160							False	NS
AT1G47480	141.627606477322	-3.51690554579469	0.319797177018285	-10.997300159387	3.93744431641832e-28	4.47465762172727e-27	True	Down
AT1G65820	2195.82461838165	1.34757667219302	0.16285308835747	8.27479961101523	1.28671832003482e-16	8.08533639397768e-16	True	Up
AT1G22900	49.1715125000769	-2.76607449445495	0.391583025160943	-7.06382635794306	1.61979135913229e-12	7.77304892540874e-12	True	Down
AT1G76820	675.998962606912	2.57757128179019	0.120997752255911	21.3026377245307	1.07305362694027e-100	8.30731031186572e-99	True	Up
AT1G52080	184.495046270128	0.0207324930366993	0.210832105555561	0.0983365080098565	0.921665089454192	0.937501962384393	True	NS
AT1G35180	104.171693944033	-0.792532469915828	0.242481754699746	-3.26842104428511	0.00108149347512527	0.00220220351650891	True	NS
AT1G30070	1837.12740660602	3.58892088021909	0.133663931647881	26.850331543992	8.35972852386515e-159	1.41830798402768e-156	True	Up
AT1G35210	16.937914086488	-1.25453122451146	0.713503334128472	-1.75826960366463	0.0787016470564223	0.113573071175951	True	NS
AT1G10410	1077.87609921256	0.481995965102663	0.122957623899421	3.92001691165514	8.85427550652801e-05	0.000209321058076058	True	NS
AT1G73740	236.85347025907	-0.295126352534358	0.198929973016448	-1.4835690572881	0.137923283357181	0.186649362701277	True	NS
AT1G53350	259.124211520889	-0.677966447686527	0.158387499500901	-4.28042901000953	1.86533382781062e-05	4.77961823359957e-05	True	NS
AT1G34110	509.838252861043	0.0213725148371572	0.136082967450294	0.157055032217487	0.875201476772121	0.899491739445896	True	NS
AT1G17240	60.959822219104	2.29845825968385	0.374655374822713	6.13485996503183	8.52342399714823e-10	3.34203161546927e-09	True	Up
AT1G61730	694.231745077614	-0.415204511439872	0.133969061738847	-3.09925669442435	0.00194006851520357	0.00379469264792555	True	NS
AT1G29260	577.243306943479	0.487178460615905	0.134245650057165	3.62900742339475	0.000284513060185896	0.000630313152969718	True	NS
AT1G33890	8.26311054545154	-6.2837403537327	1.40589069872327	-4.46957957644868	7.83734969595975e-06	2.0966794836362e-05	True	Down
AT1G08040	633.52021745592	0.433796033214345	0.119070977870596	3.64317183726991	0.00026929892501252	0.000598992922747513	True	NS
AT1G63522							False	NS
AT1G08810	283.740321560864	0.153786776228171	0.152318169525334	1.00964170398984	0.312666981507818	0.379214131597547	True	NS
AT1G09210	5392.99953163973	0.661819857943033	0.0778245373808529	8.50399989792756	1.83167698799171e-17	1.21714935852049e-16	True	NS
AT1G70080	13.337576494827	6.42119391703074	1.36803723535263	4.69372744476182	2.68271410999834e-06	7.55721702065241e-06	True	Up
AT1G10522	1122.87168342955	1.11789824826866	0.102797131210584	10.8748000562252	1.51988655630305e-27	1.67861155124107e-26	True	Up
AT1G04570	97.9664637404874	2.26108914993836	0.27236931574747	8.30155608289867	1.02756524845345e-16	6.48928613344862e-16	True	Up
AT1G01830	475.875036603744	-0.853234030688289	0.132445205538325	-6.44216623184138	1.17780174242633e-10	4.93439111774476e-10	True	NS
AT1G12340	6.74428153458397	-2.65038572465047	1.06356105231408	-2.49199208534742	0.012702886801172	0.0216607354806213	True	Down
AT1G67590	520.563452257205	-0.110209569555658	0.142120074651996	-0.775467996520013	0.438063169317519	0.506811778130952	True	NS
AT1G69080	79.7342167583333	-1.35689874214856	0.282961048267127	-4.7953552280722	1.62386810798145e-06	4.67350491808618e-06	True	Down
AT1G31400	3.58882077101478	3.52829342637706	1.88495225645816	1.87182111074089	0.061231356619213	0.0907656780917595	True	NS
AT1G74385							False	NS
AT1G73300	6.86311882470786	-0.838752376010811	0.921166414490352	-0.910532953456474	0.362541511035916	0.431006760113368	True	NS
AT1G05760							False	NS
AT1G30530	1947.0132028958	-1.05460387225394	0.0959029591616048	-10.9965728010211	3.96932345826079e-28	4.50874433848597e-27	True	Down
AT1G12480	90.5115929069772	-0.100180975731772	0.264446777092254	-0.378832280859387	0.704812414276697	0.756178973598562	True	NS
AT1G76850	1870.53827493474	-0.460195897951069	0.116946317371453	-3.93510380056998	8.31607465152207e-05	0.000197201762305423	True	NS
AT1G73570	237.552029796338	0.403918931309229	0.171110280731789	2.36057663853853	0.018246547704538	0.0301737808784708	True	NS
AT1G44130	21.4533824360795	1.65322869832284	0.615671238327111	2.68524594849511	0.0072476450909975	0.012893445814445	True	Up
AT1G67340	441.884050606099	-0.0433880096642969	0.128888357017435	-0.336632498608294	0.736393954303127	0.783839822676845	True	NS
AT1G80315							False	NS
AT1G43666							False	NS
AT1G08630	19.8222573179509	0.753898398787885	0.549152889477507	1.37283880907043	0.169802462902502	0.224210107498683	True	NS
AT1G66150	2116.92189568328	-0.405601735541397	0.127203432443315	-3.18860684614107	0.00142960166555042	0.00285681488959127	True	NS
AT1G04640	570.985335849213	-1.63538712823296	0.162366442455581	-10.0721990548038	7.33200953044651e-24	6.83007523315192e-23	True	Down
AT1G56500	3204.14088266835	-0.761595469582083	0.0959410387635314	-7.9381615979707	2.05199885113316e-15	1.20225120050961e-14	True	NS
AT1G12615							False	NS
AT1G77120	4242.91066867162	-2.04595948283486	0.102751221338127	-19.9117777500877	3.21694563874889e-88	1.93356215000379e-86	True	Down
AT1G50590	47.2635514074838	-1.9362978376561	0.375916681027973	-5.15086968836059	2.59281301727644e-07	8.11212045504668e-07	True	Down
AT1G17147	24.95236316494	-1.96132828494641	0.575926308832535	-3.40551951676289	0.000660382930829478	0.00138856293146723	True	Down
AT1G44740	103.475105193738	0.300754535295086	0.234808166956099	1.28085210661057	0.200245617800886	0.258612301950699	True	NS
AT1G08005							False	NS
AT1G24380	2.50047177995769	4.98968353623784	1.89065630215827	2.63912776242932	0.00831196489900544	0.0146205017877947	True	Up
AT1G60787	6.31156180842463	-5.89426925526475	1.586261281577	-3.71582495501932	0.000202541772122243	0.000457224145768452	True	Down
AT1G26796							False	NS
AT1G68500	84.5818050965696	0.736940682209747	0.263111190853736	2.80087167641385	0.00509647806409479	0.00930813469608151	True	NS
AT1G15500	9414.3820207538	1.1171334248061	0.0918466964544273	12.1630223832862	4.89148392795592e-34	6.99008832285313e-33	True	Up
AT1G77760	7652.78394748129	-0.201164129352154	0.109470975568304	-1.83760241751603	0.06612101232729	0.0972066652466464	True	NS
AT1G24062							False	NS
AT1G53510	1213.73921832498	-0.355823558759465	0.140463395994231	-2.5332119890799	0.0113022577313191	0.0194484685260118	True	NS
AT1G51410	2.58590517391237	2.34987112650818	1.74774882405493	1.34451306398609	0.178782534805612	0.234372851688944	True	NS
AT1G50020	1037.34684395346	-0.748174088636959	0.114130599963973	-6.55542062227946	5.54852572471405e-11	2.38769261353858e-10	True	NS
AT1G22370	572.698332006282	1.55479090613625	0.146996992615857	10.5770252742473	3.80858530503639e-26	3.91866570611099e-25	True	Up
AT1G53265							False	NS
AT1G17270	189.262869287711	0.555093052639297	0.210447039763501	2.6376852497574	0.00834740190005074	0.0146709682060843	True	NS
AT1G74350	86.1742240995741	0.637702630519343	0.269423550183509	2.36691495633916	0.0179370539509149	0.0296989344278645	True	NS
AT1G75230	271.158523408259	-0.00212027474510662	0.155187089514899	-0.0136627006262854	0.989099081257109	0.991087719771826	True	NS
AT1G29150	3624.16273367252	1.11941257203111	0.082546017956696	13.5610729595504	6.81321148401579e-42	1.2803271415603e-40	True	Up
AT1G17140	967.996053087042	-1.02871582779676	0.123169018806437	-8.35206643493205	6.70789124143985e-17	4.29398379121552e-16	True	Down
AT1G08380	23490.8907110106	-2.41701245422738	0.100602581939597	-24.0253521095372	1.5112072644853e-127	1.78965842480284e-125	True	Down
AT1G43560	1225.77088844816	0.100751932812258	0.11365482836578	0.886472966093479	0.375362715516545	0.444174261999742	True	NS
AT1G07700	799.188007524157	-0.626675066312906	0.138069235628408	-4.53884649582261	5.65627918692428e-06	1.53886415680497e-05	True	NS
AT1G33750	134.691109261615	-2.54483015880822	0.263688896244141	-9.65088100051072	4.87352186149863e-22	4.11813458038751e-21	True	Down
AT1G61270	1.37333957812775	-0.147778787626575	2.33009009303331	-0.0634219200658445	0.949430532698022	0.960146996542045	True	NS
AT1G14750	67.8743959751773	1.45373609608794	0.311308303004833	4.66976332483293	3.01546943992938e-06	8.44091504118776e-06	True	Up
AT1G05900	321.924818876234	-0.0255769269350073	0.157815831293214	-0.162068195094361	0.87125215168129	0.896581976289787	True	NS
AT1G44120							False	NS
AT1G52990	12.526316772315	2.03489074239035	0.904925608361072	2.24868290121193	0.0245326778080199	0.0394933188777558	True	Up
AT1G37130	22460.7845157623	-1.22514267091131	0.102393915981676	-11.9649947867074	5.42009934305257e-33	7.49911026515347e-32	True	Down
AT1G48175	204.084500015938	0.315459068171101	0.192707939022974	1.6369801356938	0.101634620216131	0.142381317920491	True	NS
AT1G72140	46.4011565210459	-2.39099116795031	0.39034811918911	-6.12527907888281	9.0524795219297e-10	3.54482591461126e-09	True	Down
AT1G66465	5.01197858634448	-5.56178480326992	1.63354191985851	-3.40473956355626	0.000662271820630582	0.00139216753015156	True	Down
AT1G43260							False	NS
AT1G14420	1.46946327085138	0.671662819797161	2.04046066729922	0.329172147525972	0.742025573948718	0.788676224285833	True	NS
AT1G01710	723.791415335595	0.35076030924685	0.126104986865713	2.78149435613018	0.00541092714940138	0.00984485847794188	True	NS
AT1G44000	1426.53583360212	-2.10060808487157	0.112219773083789	-18.7186983821751	3.48564992203525e-78	1.70170851908015e-76	True	Down
AT1G73960	1354.96791602911	0.354663875148335	0.156173278911555	2.2709638782009	0.0231491647185461	0.0374500790151526	True	NS
AT1G11360	555.401222641417	-0.781817350166823	0.138026902508254	-5.66423889806604	1.47678541803245e-08	5.17621403225967e-08	True	NS
AT1G04490	12.2579372272775	-3.26982704114208	0.869708546231803	-3.759681395922	0.000170129883322821	0.000388640858369798	True	Down
AT1G78476	4.71008367263527	-5.47251304144137	1.56572154018914	-3.49520198896944	0.000473703118008786	0.0010164073898113	True	Down
AT1G15310	377.134820383031	1.88076272875271	0.159159689141139	11.816828362142	3.19521124803843e-32	4.29414850986378e-31	True	Up
AT1G13300	354.859770558623	-3.120805303241	0.177313396794034	-17.6005048669058	2.44138186582658e-69	9.96633737104156e-68	True	Down
AT1G55530	1171.02253851899	1.3213117660653	0.103262527983691	12.7956558091816	1.73382591042285e-37	2.80816407780199e-36	True	Up
AT1G47350							False	NS
AT1G74458	30.758887051609	-0.219800931409639	0.412426997339815	-0.532945061374186	0.594071611072696	0.656202663345848	True	NS
AT1G32120	242.527476801552	0.460722902577426	0.210865807521436	2.18491043186596	0.028895414487182	0.0458927171267008	True	NS
AT1G17260	91.2771098809475	1.27894747665395	0.292091118989359	4.37859076674131	1.19449191133507e-05	3.12914877912429e-05	True	Up
AT1G32660	1.46154546196332	4.20235672317041	2.52098868348407	1.66694787275389	0.0955247705009484	0.134978162637505	True	NS
AT1G31480	484.959136793581	0.345807050568548	0.153044874824123	2.25951408674053	0.0238514250556548	0.0384924637510204	True	NS
AT1G17500	790.78945397606	-0.548606726068103	0.127474710948551	-4.30365146142218	1.68005897979049e-05	4.32945932506175e-05	True	NS
AT1G50780	5.95849096630073	4.33887832700883	1.42915831883598	3.03596758303359	0.00239765140826641	0.00462627980227045	True	Up
AT1G21150	84.4027782990058	-0.502016568561743	0.279442167429056	-1.7964954007494	0.072415763524145	0.105449835343596	True	NS
AT1G78110	237.235006262775	-0.40288902595572	0.210241107826366	-1.91631898310039	0.0553245060368732	0.0828257608995607	True	NS
AT1G80080	851.473593372652	-0.52342866690731	0.127896846835402	-4.09258460907125	4.26591512037633e-05	0.000104741066929737	True	NS
AT1G23260	565.812658591894	-0.387696697868408	0.136100167859189	-2.84861292948238	0.00439102666294036	0.00811763058971093	True	NS
AT1G09790							False	NS
AT1G60270	184.350417342761	-1.63744156451571	0.256439551305006	-6.38529258136221	1.71070073154319e-10	7.06184346850321e-10	True	Down
AT1G25400	103.451026543003	-0.308163071392177	0.238534835688763	-1.29189965273778	0.196391898020884	0.254404450341451	True	NS
AT1G77980	0.539907825969676	2.78870217012768	4.00022307035887	0.697136664900414	0.48571727054248		False	NS
AT1G43140	6.03973707194981	-2.15874231066119	1.10186612965906	-1.95916931517729	0.0500929613789423	0.0756995465639329	True	NS
