Table S14. Relationship between published ONSEN natural-accession evidence and accession-level ONSEN-like HSE architecture in the present study.

Accession / comparison	Primary source(s)	Published evidence	Present study accession-scan metric	Interpretation	DOI
Col-0	Cavrak et al. (2014); Masuda et al. (2017); Xu et al. (2024)	Col-0 contains multiple ONSEN copies and shows heat-induced ONSEN transcription. Previous work established HSF/HSE-dependent activation and copy-specific differences in activity; Xu et al. refined full-length Col-0 ONSEN annotations to include both LTRs.	19 main-chromosome ONSEN-like HSE candidate windows; 8 paired HSE/LTR proxies; all 16 curated Col-0 ONSEN terminal candidate windows retained HSF-family motif compatibility.	Concordant with broad HSF-compatible ONSEN terminal-region architecture in Col-0. Candidate-window abundance provides regulatory substrate, but individual copy activity remains copy- and context-dependent.	10.1371/journal.pgen.1004115; 10.1266/ggs.16-00045; 10.1093/gbe/evae242
Olympia-1	Masuda et al. (2017)	ONSEN was detected in all studied accessions, but copy number was diverse. Olympia-1 contained a single centromeric ONSEN copy with conserved HSEs; heat-induced expression was lower than in Col-0, and a premature stop codon was predicted to compromise integrase function.	Not included in the chromosome-level assemblies analysed in the present study.	Provides an external example showing that HSE conservation alone is insufficient to predict expression or transpositional competence; genomic position and coding integrity also matter.	10.1266/ggs.16-00045
Kyoto / Kyo	Nozawa et al. (2022)	Kyoto showed approximately fourfold higher heat-induced ONSEN expression than Col-0, despite fewer full-length ONSEN copies than Col-0 (five versus eight). Reduced CHH methylation and natural variation in CMT2 were linked to elevated expression.	Kyo contained 17 ONSEN-like HSE candidate windows, fewer than Col-0 (19), while retaining broad HSF-family motif compatibility.	Consistent with the published conclusion that high Kyoto expression is not explained by greater ONSEN/HSE abundance alone. Retained HSF-compatible architecture may provide substrate, but epigenetic derepression likely explains elevated expression.	10.3389/fpls.2022.899105
Ler / Ler-1	Xu et al. (2024)	Long-read annotation identified six full-length ONSEN copies in Ler-1 and showed accession-specific heat-induced TE expression and flanking-gene effects.	Ler contained 15 ONSEN-like HSE candidate windows and retained broad HSF-family motif compatibility.	Broadly concordant with intermediate ONSEN structural abundance. The candidate-window scan captures HSE/LTR regulatory substrate but does not replace long-read copy annotation.	10.1093/gbe/evae242
Cvi / Cvi-0	Xu et al. (2024)	Long-read annotation identified three full-length ONSEN copies in Cvi-0. Two Cvi-0 ONSEN copies were associated with heat-induced upregulation of flanking genes; the same study also detected high Copia-35 activity in Cvi-0.	Cvi contained 9 ONSEN-like HSE candidate windows. Cvi-v04 and Cvi-v05 showed a pronounced HSF-down/DOF-up predicted motif pattern in the 49-bp seed analysis.	Broadly concordant with lower full-length ONSEN abundance. The motif data suggest local cis-regulatory rewiring among retained ONSEN-like seeds, but do not directly predict copy-specific expression.	10.1093/gbe/evae242
Across scanned accessions	Masuda et al. (2017); Nozawa et al. (2022); Xu et al. (2024)	Published studies collectively show that ONSEN is widespread but variable among accessions, and that expression does not scale simply with copy number because methylation, chromatin state, copy integrity and genomic context contribute.	ONSEN-like HSE candidate windows were detected in all eight scanned assemblies, with main-chromosome counts ranging from 7 to 41 and paired HSE/LTR proxies ranging from 2 to 16.	Supports a descriptive interpretation in which HSE/LTR sequence features coexist with copy structure, genomic position and epigenetic state; causal integration was not tested.	10.1266/ggs.16-00045; 10.3389/fpls.2022.899105; 10.1093/gbe/evae242

Note: Present study metrics are interpreted as ONSEN-like HSE candidate windows or paired HSE/LTR proxies, not as definitive full-length ONSEN copy number or copy-specific expression.
