Table S9. Public Col-0 leaf weighted methylation summaries for ONSEN terminal candidate windows, HSF-rich non-ONSEN TE outliers and ordinary background TEs.			
TE family / alias	TAIR TE identifier	Downstream analysis set	Selection note
ATCOPIA88	AT1TE36340	Figs 4B-D and 5C; Tables S9-S10	Included in the fixed eight-region HSF-rich non-ONSEN TE subset.
ATHILA4A	AT1TE44520	Figs 4B-D and 5C; Tables S9-S10	Included in the fixed eight-region HSF-rich non-ONSEN TE subset.
ATHILA8B	AT5TE37570	Figs 4B-D and 5C; Tables S9-S10	Included in the fixed eight-region HSF-rich non-ONSEN TE subset.
ATHILA4A	AT5TE45145	Figs 4B-D and 5C; Tables S9-S10	Included in the fixed eight-region HSF-rich non-ONSEN TE subset.
ATHILA4A	AT1TE51750	Figs 4B-D and 5C; Tables S9-S10	Included in the fixed eight-region HSF-rich non-ONSEN TE subset.
ATHILA4D	AT2TE49215	Figs 4B-D and 5C; Tables S9-S10	Included in the fixed eight-region HSF-rich non-ONSEN TE subset.
ATHILA4A	AT1TE47330	Figs 4B-D and 5C; Tables S9-S10	Included in the fixed eight-region HSF-rich non-ONSEN TE subset.
ATHILA4A	AT1TE47115	Figs 4B-D and 5C; Tables S9-S10	Included in the fixed eight-region HSF-rich non-ONSEN TE subset.
