Table S9. Public Col-0 leaf weighted methylation summaries for ONSEN terminal candidate windows, HSF-rich non-ONSEN TE outliers and ordinary background TEs.
Locus class	Context	n loci	Median weighted methylation (%)	Mean weighted methylation (%)	Min (%)	Max (%)
HSF-rich non-ONSEN TE	CG	8	88.44	57.63	0	97.67
HSF-rich non-ONSEN TE	CHG	7	32.53	33.02	0	77.9
HSF-rich non-ONSEN TE	CHH	8	9.329	13.42	0	49.95
ONSEN terminal candidate windows	CG	10	86.27	84.33	50	100
ONSEN terminal candidate windows	CHG	10	48.16	54.39	21.05	100
ONSEN terminal candidate windows	CHH	16	53.61	47.85	11.81	85.54
