Table S3. HSF-focused constrained-mutant and exact-GC robustness control for the in-silico-designed 49-bp ONSEN HSE-disrupted sequence.											
Note: The primary metric is non-redundant HSF motif-coordinate placements at relative PWM score ≥0.85. Within the 5,000 variable-GC constrained mutants, the original HSF model-position count ranged only from 0 to 1 per sequence; therefore exact-coordinate collapsing cannot change these counts. All 5,119 alternative exact-GC designs contained zero HSF motif-coordinate placements at this threshold. This sensitivity analysis is kept only as an HSF-robustness control and is not used to infer HSF binding or occupancy.											
											
Comparison space	Relative PWM-score threshold	Number of comparator sequences	Designed-sequence non-redundant HSF motif-coordinate placements	Comparator 2.5th percentile	Comparator median	Comparator 97.5th percentile	Comparator maximum	Empirical midrank percentile (%)	Empirical upper-tail P	Empirical lower-tail P	Interpretation
Constrained random mutants with variable GC content	0.85	5000	0	0	0	0	1	49.18	1	0.983603279344131	The designed sequence contained no HSF motif-coordinate placement. The constrained-mutant distribution was also concentrated at zero; because no comparator had more than one HSF prediction, coordinate deduplication leaves this distribution unchanged.
Complete exact-GC constrained design space	0.85	5119	0	0	0	0	0	50	1	1	The designed sequence and all 5,119 alternative exact-GC constrained designs contained zero HSF motif-coordinate placements at the primary threshold, supporting robust loss of HSF-family motif compatibility under the imposed HSE-disruption constraints.
