Table S8D. Fixed eight-region HSF-rich non-ONSEN TE subset retained for locus-level examples in Figs 4B-D and 5C and downstream RNA-seq analyses; this is not the principal methylation comparator.											
TE family / alias	TAIR TE identifier	Downstream analysis set	Selection note	Fig. 4B heatmap status							
ATCOPIA88	AT1TE36340	Figs 4B-D and 5C; Tables S8 and S10	Retained in the fixed eight-region locus-level subset; not used as the principal direct LTR-retrotransposon methylation comparator.	Displayed (methylation values available for CG, CHG and CHH)							
ATHILA4A	AT1TE44520	Figs 4B-D and 5C; Tables S8 and S10	Retained in the fixed eight-region locus-level subset; not used as the principal direct LTR-retrotransposon methylation comparator.	Displayed (methylation values available for CG, CHG and CHH)							
ATHILA8B	AT5TE37570	Figs 4B-D and 5C; Tables S8 and S10	Retained in the fixed eight-region locus-level subset; not used as the principal direct LTR-retrotransposon methylation comparator.	Displayed (methylation values available for CG, CHG and CHH)							
ATHILA4A	AT5TE45145	Figs 4B-D and 5C; Tables S8 and S10	Retained in the fixed eight-region locus-level subset; not used as the principal direct LTR-retrotransposon methylation comparator.	Displayed (methylation values available for CG, CHG and CHH)							
ATHILA4A	AT1TE51750	Figs 4B-D and 5C; Tables S8 and S10	Retained in the fixed eight-region locus-level subset; not used as the principal direct LTR-retrotransposon methylation comparator.	Displayed (methylation values available for CG, CHG and CHH)							
ATHILA4D	AT2TE49215	Figs 4B-D and 5C; Tables S8 and S10	Retained in the fixed eight-region locus-level subset; not used as the principal direct LTR-retrotransposon methylation comparator.	Displayed (methylation values available for CG, CHG and CHH)							
ATHILA4A	AT1TE47330	Figs 4B-D and 5C; Tables S8 and S10	Retained in the fixed eight-region locus-level subset; not used as the principal direct LTR-retrotransposon methylation comparator.	Not displayed (no complete three-context methylation row in the retained dataset)							
ATHILA4A	AT1TE47115	Figs 4B-D and 5C; Tables S8 and S10	Retained in the fixed eight-region locus-level subset; not used as the principal direct LTR-retrotransposon methylation comparator.	Not displayed (no complete three-context methylation row in the retained dataset)							
